URI,dcdtr:elementName,skos:prefLabel,dct:description,dcdtr:meaning,dcdtr:containerObject,dcdtr:dataType,dcdtr:valueDomain,dcdtr:unitOfMeasure,source
class/attribute/unitsthermaldiffusivity,UnitsThermalDiffusivity,Thermal Diffusivity units,Reporting units for Thermal Diffusivity are meters squared per second   (m2/s) ,,,def/primitive-type/term,class/value-domain/units-of-measurement-terms,,
class/attribute/updatedate,UpdateDate,Update Date,Date of last time line of data was updated or corrected by the service provider.(Format: 2012-06-22T00:00).,,,def/primitive-type/date-time,calendar date,,
class/attribute/updatetimestamp,UpdateTimeStamp,Update Time Stamp,Date of last time line of data was updated or corrected by the service provider.(Format: 2012-06-22T00:00).,,,def/primitive-type/date-time,class/value-domain/calendar-date,,
class/attribute/useapplication,UseApplication,Use Application,Statement for how heat is being used. Should come from controlled vocabulary.,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/utmdatumzone,UTMDatumZone,UTM Datum Zone,The datum and UTM zone for the reported coordinates. Datum for most locations should be NAD27 or NAD83.,,class/data-object/coordinate-location,def/primitive-type/string,class/value-domain/utm-zones,,
class/attribute/utm-e,UTM_E,UTM E,UTM easting coordinate as decimal number.,,class/data-object/coordinate-location,def/primitive-type/real-number,,,
class/attribute/utm-n,UTM_N,UTM N,UTM northing coordinate as decimal number.,,class/data-object/coordinate-location,def/primitive-type/real-number,,,
class/attribute/utmzone,UTMZone,UTM Zone,The datum and UTM zone for the reported coordinates. Datum for most locations should be NAD27 or NAD83.,,,def/primitive-type/string,class/value-domain/utm-zones,,
class/attribute/ventelevation,VentElevation,Vent Elevation,"Elevation at ground level for the vent. If rim elevation varies, use highest peak. 3 decimal places is recommended by the USGS (OFR 02-463, p.6). Elevations should be reported relative to mean sea level (MSL).",,,def/primitive-type/real-number,,,
class/attribute/verticalconductivity-ft-day,VerticalConductivity_ft_day,Vertical Conductivity ft day,Physical property that quantitatively describes the ability of a fluid to move vertically through the pore spaces and/or fractures in a material.  Report Conductivity values in ft/day.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/verticaldatum,VerticalDatum,Vertical Datum,The point of reference against which elevation measurements are made. Best practice: use mean sea level (MSL) as datum.,,,def/primitive-type/real-number,,,
class/attribute/verticalextentmax-m,VerticalExtentMax_m,Vertical Extent Max m,Maximum elevation at which a sample was collected [in meters]. Use negative values for depth below sea level. Minimum elevation if a range is provided for the elevation/depth below sea level. “678.5”; “-4536” (=4536 meters depth below sea level).,,,def/primitive-type/real-number,class/value-domain/length-meters,def/units-of-measure/meter,
class/attribute/verticalextentmin-m,VerticalExtentMin_m,Vertical Extent Min m,Minimum elevation at which a sample was collected [in meters]. Use negative values for depth below sea level. Minimum elevation if a range is provided for the elevation/depth below sea level. “678.5”; “-4536” (=4536 meters depth below sea level).,,,def/primitive-type/real-number,class/value-domain/length-meters,def/units-of-measure/meter,
class/attribute/verticalunits,VerticalUnits,Vertical Units,Units used to report all elevation and depth information. Default is km for kilometers.,,,def/primitive-type/term,class/value-domain/units-of-measurement-terms,,
class/attribute/viscosity,Viscosity,Viscosity,The viscosity of the drilling fluid; resistance to flow.,,,def/primitive-type/string,,,
class/attribute/volcanicgroup,VolcanicGroup,Volcanic Group,Name of volcanic Group – used if the vent is part of a grouping of volcanoes. E.g. “Wrangells” or “Cook Inlet”.,,,def/primitive-type/string,,,
class/attribute/volcventname,VolcVentName,Volc Vent Name,Common or human-readable name by which the feature is known. Recommend using only web-safe characters (a-z A-Z 0-9 _-.) in the name. Be consistent in the naming convention used within any given dataset.,,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/waterdensity-kgm3,WaterDensity_kgm3,Water Density  kgm3,Water density at the estimated temperature. Report in kilograms per cubic meter (kg/m3).,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,def/units-of-measure/kilogram-per-cubic-meter,
class/attribute/waterdensity-mgl,WaterDensity_mgL,Water Density  mgL,"Indicate the water (or brine, likely) TDS (total dissolved solids). Unit of measure is mg/L.",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/waterinjection-bbl,WaterInjection_bbl,Water Injection bbl,Amount of water injected into a formation for disposal purposes or enhanced recovery.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/watermass-kg,WaterMass_kg,Water Mass kg,"Estimated total mass of mine water, in kilograms (kg).",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,def/units-of-measure/kilogram,
class/attribute/watersaturation-pct,WaterSaturation_pct,Water Saturation pct,Water Saturation percent (%).,,,def/primitive-type/real-number,class/value-domain/percent-of-whole,,
class/attribute/watershedname,WatershedName,Watershed Name,"Name of the watershed located above, or in communication with, mine workings. Delimit multiple watershed names with the pipe character  | .",,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/watertabletemperature,WaterTableTemperature,Water Table Temperature,"Measured, calculated or inferred value from equilibrium temperature logging.  Units must be consistent with temperature units above.",,,def/primitive-type/real-number,,,
class/attribute/watertabletop,WaterTableTop,Water Table Top,Depth for Top of Water Table based on log information. Depth units must be consistent with units stated above.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/watertds-mgl,WaterTDS_mgl,Water TDS mgl,Total Dissolved Solids. Milligrams per liter.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/wellborename,WellBoreName,WellBore Name ,Common or human-readable name for well bore from which the well log was obtained. Recommend using only web-safe characters (a-z A-Z 0-9 _-.) in the name. Be consistent in the naming convention used within any given dataset. Suggested convention for wellName is: Name = Operator + Well No. + Lease (Mineral) Owner.,,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/wellboreshape,WellBoreShape,Well Bore Shape,"Term used to indicate the overall shape of the borehole identified by the HeaderURI, e.g. vertical, inclined down, curved, horizontal, inclined up, unknown.",,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/wellboreuri,WellBoreURI,WellBore URI,"Unique identifier for the well bore from which the log observation was obtained. Best practice is to use an http URI that will dereference to a normative description of the well bore. Note that the terms borehole and wellbore (PPDM usage) are often used interchangeably in USGIN - AASG geothermal data documentation. If no URI is available for well, use http://www.opengis.net/def/nil/OGC/0/missing.",,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/wellcount,WellCount,Well Count,Number of wells contained by reservoir in question.,,,def/primitive-type/integer,,,
class/attribute/welldrilldate,WellDrillDate,Well Drill Date,"Date of well activity entered in WellDrillDateType field. Specify day, month and year; Will be displayed using ISO 8601 date and time (yyyy-mm-ddT:hh:mm) format. All dates will be converted to yyyy-mm-ddT:hh:mm.",,,def/primitive-type/date-time,class/value-domain/era-of-borehole-drilling,,
class/attribute/welldrilldatetype,WellDrillDateType,Well Drill Date Type,"Provide what the -drill date- represents. e.g. Start, Completion, Well Header date, etc.",,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/wellheaderuri,WellHeaderURI,Well Header URI,"Unique identifier for this observation. This is the identifier (Uniform Resource Identifier) that will be used to cross-reference data, samples, and other observations to the observation represented by this record. Best practice is to define an http URI that will dereference to a normative description of the observation. USGIN URIs may be redirected to any URL using the http://resources.usgin.org redirector; contact the USGIN development team at AZGS for instructions. If the API number indicates multiple instances of reentry, recompletion, sidetrack, etc., each instance is to have its own HeaderURI.  For example, the API number 42-501-20130-0300 indicates a well (42-501-20130) with three sidetracks, for a total of four total boreholes (-0000,-0100, -0200,-0300), each of which should have its own database record and HeaderURI.",,,def/primitive-type/uri,class/value-domain/http-uri,,
